product_author,product_name,product_price,product_rating
Jeff Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14),$8.99,70
Lee Smith,The Plot Against the President: The True Story of How Congressman Devin Nunes Uncovered the Biggest Political Scandal in U.S. History,$17.34,141
Prince,The Beautiful Ones,$17.99,85
Elton John,Me: Elton John Official Autobiography,$17.60,232
Unkown,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",$0.00,332
Donald Trump  Jr.,Triggered: How the Left Thrives on Hate and Wants to Silence Us,$17.98,86
Unkown,The Guardians: A Novel,$0.00,617
Hoda Kotb,I Really Needed This Today: Words to Live By,$14.49,84
Brian Kilmeade,Sam Houston and the Alamo Avengers: The Texas Victory That Changed American History,$16.95,10
Tieghan Gerard,"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",$17.99,101
Ree Drummond,The Pioneer Woman Cooks: The New Frontier: 112 Fantastic Favorites for Everyday Eating,$17.99,115
Lee Child,Blue Moon: A Jack Reacher Novel,$14.99,486
Gregory Zuckerman,The Man Who Solved the Market: How Jim  Simons Launched the Quant Revolution,$18.02,11
Tim McGraw,"Grit & Grace: Train the Mind, Train the Body, Own Your Life",$19.39,10
John Lithgow,"Dumpty: The Age of Trump in Verse (Political Satire Book, Poetry, Political Humor Gift)",$13.99,85
Mitch Albom,"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",$14.99,15
David Limbaugh,Guilty By Reason of Insanity: Why The Democrats Must Not Win,$18.59,29
Alison Roman,Nothing Fancy: Unfussy Food for Having People Over,$19.50,136
Bret Baier,Three Days at the Brink: FDR's Daring Gamble to Win World War II (Three Days Series),$18.39,25
Shannon Messenger,Legacy (8) (Keeper of the Lost Cities),$15.39,22
Mike Rowe,The Way I Heard It,$16.89,271
Michael Connelly,The Night Fire (A Renée Ballard and Harry Bosch Novel Book 2),$14.99,366
Rhett McLaughlin,The Lost Causes of Bleak Creek: A Novel,$15.60,89
Unkown,The Body: A Guide for Occupants,$0.00,62
Elizabeth Strout,"Olive, Again (Oprah's Book Club): A Novel",$13.99,176
Alice Schertle,"Good Night, Little Blue Truck",$10.79,47
Erin Morgenstern,The Starless Sea: A Novel,$17.39,14
Flea,Acid for the Children: A Memoir,$18.00,3
Unkown,Find Me: A Novel,$16.20,57
Unkown,"Food: What the Heck Should I Cook?: More than 100 Delicious Recipes--Pegan, Vegan, Paleo, Gluten-free, Dairy-free, and More--For Lifelong Health",$19.69,110
Angela Kelly,"The Other Side of the Coin: The Queen, the Dresser and the Wardrobe",$21.00,16
Neal Shusterman,The Toll (3) (Arc of a Scythe),$11.99,23
product_author,product_name,product_price,product_rating
Jeff Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14),$8.99,70
Lee Smith,The Plot Against the President: The True Story of How Congressman Devin Nunes Uncovered the Biggest Political Scandal in U.S. History,$17.34,141
Prince,The Beautiful Ones,$17.99,85
Elton John,Me: Elton John Official Autobiography,$17.60,232
Unkown,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",$0.00,332
Donald Trump  Jr.,Triggered: How the Left Thrives on Hate and Wants to Silence Us,$17.98,86
Unkown,The Guardians: A Novel,$0.00,617
Hoda Kotb,I Really Needed This Today: Words to Live By,$14.49,84
Brian Kilmeade,Sam Houston and the Alamo Avengers: The Texas Victory That Changed American History,$16.95,10
Tieghan Gerard,"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",$17.99,101
Ree Drummond,The Pioneer Woman Cooks: The New Frontier: 112 Fantastic Favorites for Everyday Eating,$17.99,115
Lee Child,Blue Moon: A Jack Reacher Novel,$14.99,486
Gregory Zuckerman,The Man Who Solved the Market: How Jim  Simons Launched the Quant Revolution,$18.02,11
Tim McGraw,"Grit & Grace: Train the Mind, Train the Body, Own Your Life",$19.39,10
John Lithgow,"Dumpty: The Age of Trump in Verse (Political Satire Book, Poetry, Political Humor Gift)",$13.99,85
Mitch Albom,"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",$14.99,15
product_author,product_name,product_price,product_rating
Jeff Kinney,Wrecking Ball (Diary of a Wimpy Kid Book 14),$8.99,71
Prince,The Beautiful Ones,$17.99,85
Lee Smith,The Plot Against the President: The True Story of How Congressman Devin Nunes Uncovered the Biggest Political Scandal in U.S. History,$17.34,141
Elton John,Me: Elton John Official Autobiography,$17.60,232
Donald Trump  Jr.,Triggered: How the Left Thrives on Hate and Wants to Silence Us,$17.98,90
Unkown,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",$0.00,332
Unkown,The Guardians: A Novel,$0.00,617
